Catchment(0.14-0.15), -nan(ind), -nan(ind)
Catchment(0.15-0.16), -nan(ind), -nan(ind)
Catchment(0.16-0.17), -nan(ind), -nan(ind)
Catchment(0.17-0.18), -nan(ind), -nan(ind)
Catchment(0.18-0.19), -nan(ind), -nan(ind)
Catchment(1.14-1.15), -nan(ind), -nan(ind)
Catchment(1.15-1.16), -nan(ind), -nan(ind)
Catchment(1.16-1.17), -nan(ind), -nan(ind)
Catchment(1.17-1.18), -nan(ind), -nan(ind)
Catchment(1.18-1.19), -nan(ind), -nan(ind)
Catchment(2.10-2.11), -nan(ind), -nan(ind)
Catchment(2.11-2.12), -nan(ind), -nan(ind)
Catchment(2.12-2.13), -nan(ind), -nan(ind)
Catchment(2.13-2.14), -nan(ind), -nan(ind)
Catchment(2.14-2.15), -nan(ind), -nan(ind)
Catchment(2.15-2.16), -nan(ind), -nan(ind)
Catchment(2.16-2.17), -nan(ind), -nan(ind)
Catchment(2.17-2.18), -nan(ind), -nan(ind)
Catchment(3.10-3.11), -nan(ind), -nan(ind)
Catchment(3.11-3.12), -nan(ind), -nan(ind)
Catchment(3.12-3.13), -nan(ind), -nan(ind)
Catchment(3.13-3.14), -nan(ind), -nan(ind)
Catchment(3.14-3.15), -nan(ind), -nan(ind)
Catchment(3.15-3.16), -nan(ind), -nan(ind)
Catchment(3.16-3.17), -nan(ind), -nan(ind)
Catchment(3.17-3.18), -nan(ind), -nan(ind)
Catchment(4.9-4.10), -nan(ind), -nan(ind)
Catchment(4.10-4.11), -nan(ind), -nan(ind)
Catchment(4.11-4.12), -nan(ind), -nan(ind)
Catchment(4.12-4.13), -nan(ind), -nan(ind)
Catchment(4.13-4.14), -nan(ind), -nan(ind)
Catchment(4.14-4.15), -nan(ind), -nan(ind)
Catchment(4.15-4.16), -nan(ind), -nan(ind)
Catchment(4.16-4.17), -nan(ind), -nan(ind)
Catchment(4.17-4.18), -nan(ind), -nan(ind)
Catchment(4.18-4.19), -nan(ind), -nan(ind)
Catchment(5.9-5.10), -nan(ind), -nan(ind)
Catchment(5.10-5.11), -nan(ind), -nan(ind)
Catchment(5.11-5.12), -nan(ind), -nan(ind)
Catchment(5.12-5.13), -nan(ind), -nan(ind)
Catchment(5.13-5.14), -nan(ind), -nan(ind)
Catchment(5.14-5.15), -nan(ind), -nan(ind)
Catchment(5.15-5.16), -nan(ind), -nan(ind)
Catchment(5.16-5.17), -nan(ind), -nan(ind)
Catchment(6.7-6.8), -nan(ind), -nan(ind)
Catchment(6.8-6.9), -nan(ind), -nan(ind)
Catchment(6.9-6.10), -nan(ind), -nan(ind)
Catchment(6.10-6.11), -nan(ind), -nan(ind)
Catchment(6.11-6.12), -nan(ind), -nan(ind)
Catchment(6.12-6.13), -nan(ind), -nan(ind)
Catchment(6.13-6.14), -nan(ind), -nan(ind)
Catchment(6.14-6.15), -nan(ind), -nan(ind)
Catchment(6.15-6.16), -nan(ind), -nan(ind)
Catchment(7.4-7.5), -nan(ind), -nan(ind)
Catchment(7.5-7.6), -nan(ind), -nan(ind)
Catchment(7.6-7.7), -nan(ind), -nan(ind)
