Block_name, x, y, z,z0,ks,theta_1,theta_5,theta_25,theta_50,theta_100,theta_200,theta_500,theta_1000,theta_2000,theta_5000,theta_10000
Soil(0.0.0),0,0,0,0,20,0.405192,0.425961,0.471011,0.485422,0.493072,0.495553,0.49599,0.495997,0.495997,0.495997,0.495997
Soil(0.0.1),0,0,1,1,20,0.404394,0.421968,0.463237,0.477733,0.485411,0.487898,0.488335,0.488342,0.488342,0.488342,0.488342
Soil(0.0.2),0,0,2,2,20,0.403578,0.417891,0.455399,0.470004,0.477721,0.480217,0.480656,0.480663,0.480663,0.480663,0.480663
Soil(0.0.3),0,0,3,3,20,0.402726,0.413628,0.447462,0.462227,0.469992,0.472504,0.472945,0.472952,0.472952,0.472952,0.472952
Soil(0.0.4),0,0,4,4,20,0.401802,0.409011,0.439365,0.454387,0.462215,0.464744,0.465189,0.465196,0.465196,0.465196,0.465196
Soil(0.1.0),0,100,2,2,20,0.404106,0.420528,0.458191,0.470972,0.47782,0.480196,0.480655,0.480663,0.480663,0.480663,0.480663
Soil(0.1.1),0,100,3,3,20,0.403278,0.416392,0.450293,0.463201,0.470091,0.472483,0.472944,0.472952,0.472952,0.472952,0.472952
Soil(0.1.2),0,100,4,4,20,0.402412,0.412062,0.442266,0.455368,0.462315,0.464722,0.465188,0.465196,0.465196,0.465196,0.465196
Soil(0.1.3),0,100,5,5,20,0.401402,0.407008,0.434029,0.447442,0.454475,0.456901,0.45737,0.457378,0.457378,0.457378,0.457378
Soil(0.1.4),0,100,6,6,20,0.399838,0.399188,0.425336,0.439358,0.446529,0.448996,0.44947,0.449478,0.449478,0.449478,0.449478
Soil(0.2.0),0,200,4,4,20,0.403734,0.418671,0.447634,0.457057,0.462437,0.464668,0.465187,0.465196,0.465196,0.465196,0.465196
Soil(0.2.1),0,200,5,5,20,0.402892,0.414461,0.439565,0.449154,0.454598,0.456846,0.457368,0.457378,0.457378,0.457378,0.457378
Soil(0.2.2),0,200,6,6,20,0.401982,0.409912,0.431217,0.441117,0.446655,0.448941,0.449468,0.449478,0.449478,0.449478,0.449478
Soil(0.2.3),0,200,7,7,20,0.400821,0.404107,0.422337,0.432848,0.438557,0.440898,0.441442,0.441452,0.441452,0.441452,0.441452
Soil(0.2.4),0,200,8,8,20,0.397712,0.388562,0.411495,0.424191,0.430217,0.432623,0.433182,0.433192,0.433192,0.433192,0.433192
Soil(0.3.0),0,300,6,6,20,0.403613,0.418067,0.438553,0.443028,0.446642,0.448833,0.449465,0.449478,0.449478,0.449478,0.449478
Soil(0.3.1),0,300,7,7,20,0.402763,0.413813,0.430191,0.434831,0.438543,0.440786,0.441439,0.441452,0.441452,0.441452,0.441452
Soil(0.3.2),0,300,8,8,20,0.401842,0.409212,0.421231,0.426261,0.430203,0.432508,0.433179,0.433192,0.433192,0.433192,0.433192
Soil(0.3.3),0,300,9,9,20,0.400619,0.403094,0.410237,0.416755,0.42122,0.423822,0.424536,0.42455,0.42455,0.42455,0.42455
Soil(0.3.4),0,300,10,10,20,0.395936,0.37968,0.385768,0.403389,0.410244,0.413648,0.414545,0.414564,0.414564,0.414564,0.414564
Soil(0.4.0),0,400,8,8,20,0.403164,0.415819,0.428865,0.427878,0.429834,0.432322,0.433175,0.433192,0.433192,0.433192,0.433192
Soil(0.4.1),0,400,9,9,20,0.402284,0.41142,0.419764,0.418696,0.420811,0.423612,0.42453,0.42455,0.42455,0.42455,0.42455
Soil(0.4.2),0,400,10,10,20,0.401249,0.406243,0.408132,0.406582,0.40965,0.4134,0.41454,0.414564,0.414564,0.414564,0.414564
Soil(0.4.3),0,400,11,11,20,0.39947,0.397348,0.37574,0.363431,0.384912,0.396894,0.399644,0.399702,0.399702,0.399702,0.399702
Soil(0.4.4),0,400,12,12,20,0.386433,0.332164,0.21753,0.204518,0.231344,0.278436,0.297096,0.297495,0.297496,0.297496,0.297496
Soil(1.0.0),100,0,1,1,20,0.404705,0.423526,0.46434,0.47805,0.48559,0.487949,0.488336,0.488342,0.488342,0.488342,0.488342
Soil(1.0.1),100,0,2,2,20,0.403896,0.41948,0.45651,0.470322,0.477902,0.480268,0.480657,0.480663,0.480663,0.480663,0.480663
Soil(1.0.2),100,0,3,3,20,0.403063,0.415316,0.44859,0.462547,0.470173,0.472556,0.472946,0.472952,0.472952,0.472952,0.472952
Soil(1.0.3),100,0,4,4,20,0.40217,0.410852,0.440532,0.454709,0.462397,0.464796,0.46519,0.465196,0.465196,0.465196,0.465196
Soil(1.0.4),100,0,5,5,20,0.401094,0.405472,0.432208,0.446768,0.454558,0.456974,0.457372,0.457378,0.457378,0.457378,0.457378
Soil(1.1.0),100,100,3,3,20,0.403601,0.418004,0.45142,0.463647,0.470331,0.472546,0.472945,0.472954,0.472953,0.472952,0.472952
Soil(1.1.1),100,100,4,4,20,0.402749,0.413745,0.443416,0.455817,0.462556,0.464786,0.46519,0.465192,0.465194,0.465196,0.465196
Soil(1.1.2),100,100,5,5,20,0.401827,0.409137,0.435215,0.447901,0.454718,0.456964,0.457371,0.45738,0.45738,0.457378,0.457378
Soil(1.1.3),100,100,6,6,20,0.400595,0.402976,0.426617,0.439826,0.446777,0.449061,0.449471,0.449478,0.449476,0.449478,0.449478
