t, S_myBlock1, t, S_myBlock2, t, Q_myBlock1-myBlock2, t, H_myBlock1, t, H_myBlock2, t, E_myBlock1, t, E_myBlock2, t, A_myBlock1-myBlock2, t, Qv_myBlock1-myBlock2, t, V_myBlock1, t, V_myBlock2, t, LAI_myBlock1, t, LAI_myBlock2, 
0.000000, 1.000000e+00,0.000000, 2.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,
0.100000, 1.000000e+00,0.100000, 2.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,
0.200000, 1.000000e+00,0.200000, 2.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,
0.300000, 1.000000e+00,0.300000, 2.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,
0.400000, 1.000000e+00,0.400000, 2.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,
0.500000, 1.000000e+00,0.500000, 2.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,
0.600000, 1.000000e+00,0.600000, 2.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,
0.700000, 1.000000e+00,0.700000, 2.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,
0.800000, 1.000000e+00,0.800000, 2.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,
0.900000, 1.000000e+00,0.900000, 2.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,
1.000000, 1.000000e+00,1.000000, 2.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,
1.100000, 1.000000e+00,1.100000, 2.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,
1.200000, 1.000000e+00,1.200000, 2.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,1.200000, 0.000000e+00,
