t, S_myBlock1, t, S_myBlock2, t, Q_C, t, H_myBlock1, t, H_myBlock2, t, E_myBlock1, t, E_myBlock2, t, A_C, t, Qv_C, t, V_myBlock1, t, V_myBlock2, t, LAI_myBlock1, t, LAI_myBlock2, 
0.000000, 1.000000e+00,0.000000, 2.000000e+00,0.000000, -1.260887e+03,0.000000, 1.000000e-01,0.000000, 2.000000e-01,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 1.000000e+01,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,
0.100000, 1.498877e+00,0.100000, 1.501123e+00,0.100000, -2.778729e+00,0.100000, 1.498857e-01,0.100000, 1.501143e-01,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 1.000000e+01,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,0.100000, 0.000000e+00,
0.200000, 1.499961e+00,0.200000, 1.500039e+00,0.200000, -1.036912e-03,0.200000, 1.499999e-01,0.200000, 1.500001e-01,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 1.000000e+01,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,0.200000, 0.000000e+00,
0.300000, 1.499950e+00,0.300000, 1.500050e+00,0.300000, 1.448489e-04,0.300000, 1.500000e-01,0.300000, 1.500000e-01,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 1.000000e+01,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,0.300000, 0.000000e+00,
0.400000, 1.500053e+00,0.400000, 1.499947e+00,0.400000, -7.314028e-04,0.400000, 1.499999e-01,0.400000, 1.500001e-01,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 1.000000e+01,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,0.400000, 0.000000e+00,
0.500000, 1.499982e+00,0.500000, 1.500018e+00,0.500000, 1.061139e-03,0.500000, 1.500001e-01,0.500000, 1.499999e-01,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 1.000000e+01,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,0.500000, 0.000000e+00,
0.600000, 1.500068e+00,0.600000, 1.499932e+00,0.600000, -8.672566e-04,0.600000, 1.499999e-01,0.600000, 1.500001e-01,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 1.000000e+01,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,0.600000, 0.000000e+00,
0.700000, 1.499969e+00,0.700000, 1.500031e+00,0.700000, 4.227827e-04,0.700000, 1.500001e-01,0.700000, 1.499999e-01,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 1.000000e+01,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,0.700000, 0.000000e+00,
0.800000, 1.499970e+00,0.800000, 1.500030e+00,0.800000, 4.483858e-04,0.800000, 1.500001e-01,0.800000, 1.499999e-01,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 1.000000e+01,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,0.800000, 0.000000e+00,
0.900000, 1.500091e+00,0.900000, 1.499909e+00,0.900000, -1.194822e-03,0.900000, 1.499998e-01,0.900000, 1.500002e-01,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 1.000000e+01,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,0.900000, 0.000000e+00,
1.000000, 1.500108e+00,1.000000, 1.499892e+00,1.000000, -1.030991e-03,1.000000, 1.499999e-01,1.000000, 1.500001e-01,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 1.000000e+01,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,1.000000, 0.000000e+00,
1.100000, 1.500089e+00,1.100000, 1.499911e+00,1.100000, -2.422955e-04,1.100000, 1.500000e-01,1.100000, 1.500000e-01,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 1.000000e+01,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,1.100000, 0.000000e+00,
